-1491,-1462,-107,-3873,1503,1981,-1342,-2332,3401,3034,369
70,246,215,298,-418,-427,-259,5,168,-129,-50
-272,88,377,-441,-378,-278,-793,-586,1157,522,3
-60,-711,-788,-573,1360,1322,1169,310,-1116,52,135
621,1379,952,2168,-2111,-2265,-744,562,-107,-1278,-296
201,440,311,692,-689,-734,-259,170,-10,-400,-95
66,553,577,484,-1016,-1001,-828,-184,752,-91,-106
-473,-442,-7,-1216,432,586,-470,-755,1125,967,113
-346,-204,138,-876,60,197,-669,-673,1175,805,62
-460,-863,-551,-1455,1317,1420,404,-440,200,874,191
-328,-159,173,-774,-1,123,-645,-633,1115,722,52
